"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACKR2",30.7050265022974,-2.11928239222326,0.885348318237036,-2.39372724674433,0.0166781461655179,NA
"ACKR3",147.452180342246,-1.86642747572259,1.05132470038476,-1.77531021105041,0.0758466803172489,NA
"ACKR4",13.3447678930456,-0.803743686738195,1.08996171042218,-0.737405432734764,0.460875832675702,NA
"ACLY",648.55444695508,0.0721870899837823,0.215097858069924,0.335601156754967,0.737171651585063,NA
"ACO1",483.68783931255,-0.430914798075398,0.554026216479713,-0.777787738662322,0.436694157511686,NA
"ACO2",359.91400213728,0.0700127754092702,0.345748518192425,0.202496241416441,0.83952879646556,NA
"ACOT1",9.50728331877043,-1.8508515047251,1.54574346536211,-1.19738594805673,0.231156158129832,NA
"ACOT11",215.468374224977,-0.797240837802598,0.807958136311248,-0.986735329434789,0.323772405613797,NA
"ACOT12",1.06891231420782,-0.0849590455650526,3.47868506605229,-0.0244227470874409,0.980515404183803,NA
"ACOT13",115.234456330903,0.31770738657833,0.325249157837725,0.976812326557481,0.32866207240047,NA
"ACOT2",40.396971513495,-1.33773305280458,0.807715141222768,-1.65619410177137,0.0976825173267053,NA
"ACOT4",11.8646808975749,-0.610027519773979,1.38691638177545,-0.43984448362565,0.660049746982375,NA
"ACOT7",62.5196939641487,-0.965819668288186,0.655670324235013,-1.47302635576047,0.14074392926651,NA
"ACOT8",39.8148005728618,-0.0423650269930151,0.516225261064835,-0.0820669389669682,0.934593483296508,NA
"ACOT9",335.360782415907,0.013311667295831,0.431273139030312,0.0308659781728149,0.975376422472947,NA
"ACOX1",625.71893639438,-0.380385057645841,0.303501949920011,-1.25331997947984,0.210089280154162,NA
"ACOX2",19.0828560966427,0.655778694625963,0.670315685151281,0.978313217417794,0.327919434725536,NA
"ACOX3",156.265726149742,-0.193387872127187,0.246205284214827,-0.785474092255656,0.43217565452398,NA
"ACOXL",17.9905650108358,0.0926819621696669,1.17979775513763,0.0785575000173273,0.937384593090837,NA
"ACOXL-AS1",2.73095368514664,-0.836204115351665,2.13602061825253,-0.391477548580856,0.695444280831686,NA
"ACP1",545.616313023433,-0.093107098098087,0.230319582982038,-0.404251765710031,0.686027590947509,NA
"ACP2",212.808072007546,-0.236836774957494,0.573082376865583,-0.4132682918167,0.679410058403533,NA
"ACP5",1900.15025603027,-1.04678588514366,1.4397452062455,-0.727063289117263,0.467187186219258,0.789670376706887
"ACP6",325.763635324761,-0.208825575848624,0.542668048757835,-0.38481273464805,0.700376163455297,NA
"ACPP",15.4704505879047,0.034058698088324,0.850008834225063,0.0400686401328696,0.968038403263238,NA
"ACR",2.68562673302947,-4.35735363738046,2.31766025314706,-1.88006573934371,0.0600991190494037,NA
"ACRBP",32.6380770126564,0.388891949627782,0.703044264469677,0.553154288117452,0.580157765293434,NA
"ACSBG1",2.09779491056999,0.892355345979205,2.77752784111647,0.321276832141675,0.748000611811162,NA
"ACSF2",77.7297669730577,-0.21543447999829,0.52086467760425,-0.413609310174754,0.679160253773114,NA
"ACSF3",290.362071396446,0.25407545475125,0.373835293740568,0.679645445482128,0.496728986859135,NA
"ACSL1",1670.20398376476,-1.12227201883165,0.924304341003281,-1.21418018832789,0.224678924149165,0.610394346551155
"ACSL3",540.163010790535,-0.37345917552978,0.345366720359739,-1.08134094431791,0.279545480648744,NA
"ACSL4",1177.68984894543,-0.630299370306602,0.426510349208102,-1.47780557136978,0.139459826717172,0.528481221874289
"ACSL5",457.013431575984,0.127881512392868,0.230911251231924,0.553812392036391,0.579707246595362,NA
"ACSL6",162.984204942788,-0.17828813007173,0.793451131744068,-0.224699572461178,0.822212997231375,NA
"ACSM1",3.19042715620501,-0.668874617787852,1.40582289262659,-0.47578867956699,0.634224935626627,NA
"ACSM2A",0.439612100352501,-1.50302055741982,4.16476783674772,-0.360889398001481,0.718182129428679,NA
"ACSM3",22.1394475002078,0.0109016199270989,0.809620267173014,0.0134651025537745,0.989256727205681,NA
"ACSM5",86.2584110833346,-0.76937846114878,1.10570226247879,-0.695827879942984,0.486536627066245,NA
"ACSS1",428.288623917746,0.0248907729678869,0.329963810041155,0.0754348574311297,0.939868725987711,NA
"ACSS2",239.42378612214,-0.143116715966646,0.444654508567003,-0.321860485408934,0.747558389589563,NA
"ACSS3",144.20968917451,-0.834306645210074,0.474138917572635,-1.75962489955755,0.0784714268727561,NA
"ACTA1",1.27027767956353,0.894804841215591,2.69444668684864,0.332092242011339,0.739819608009704,NA
"ACTA2",628.98764643036,-0.511310173490486,0.543520420618337,-0.940737742491428,0.346839272350577,NA
"ACTA2-AS1",88.5136580496602,0.287751203205122,0.938599928969005,0.306574925401069,0.759166941758933,NA
"ACTB",25628.9631936731,-0.0758751162635611,0.25397952328025,-0.29874501410036,0.765134608259308,0.929317150665302
"ACTC1",4.22862938687287,-3.83564074384187,2.95267707081081,-1.29903834786396,0.193930769172008,NA
"ACTG1",6551.06016549784,0.0588318205979053,0.263010863469079,0.223685895791228,0.823001721415376,0.948114715721754
"ACTG1P17",25.6423961658091,1.1157621504091,0.665041098569815,1.67773413223419,0.0933990130282431,NA
"ACTG1P20",84.0965590127904,0.249268062490834,0.531628765774896,0.468876175516018,0.639158146616361,NA
"ACTG1P4",21.6820454528642,1.0126909966052,0.676861537930012,1.49615680586938,0.134612797615092,NA
"ACTG2",42.7373417938579,-1.65951464502319,1.33456382853099,-1.2434884038854,0.213687911492679,NA
"ACTL10",3.27771808141777,2.50233264982268,1.44754236176111,1.72867662869519,0.0838669864829608,NA
"ACTL6A",135.793798847195,0.0484290607195597,0.304550460121915,0.159018182734556,0.873654548359504,NA
"ACTN1",863.074440322943,0.0673576554247232,0.463075855275152,0.145457066390776,0.884350011227395,0.974954413532077
"ACTN1-AS1",2.72674369774454,-4.89274621820119,2.38846620143539,-2.0484887813195,0.0405121302432699,NA
"ACTN2",8.16609600245754,-2.84497607758589,2.1288259051583,-1.33640617144516,0.181416550250189,NA
"ACTN3",0.604341576594544,0.966058261323258,2.27629814512476,0.42439882639816,0.671274976484602,NA
"ACTN4",911.235867044788,-0.269287565541056,0.392016212167154,-0.686929665618606,0.492127051661027,0.798283564562231
"ACTR10",275.586455112486,-0.23496444668703,0.214116891661551,-1.09736529828965,0.272481736656473,NA
"ACTR1A",368.269991569354,-0.0956785771916216,0.318198299791094,-0.30068852427696,0.763652020360949,NA
"ACTR1B",244.453531568141,-0.00898841472225301,0.200899367723212,-0.0447408810894655,0.964313847910317,NA
"ACTR2",5023.23683012102,-0.317181810224031,0.264145978179671,-1.20078228110778,0.229835666867142,0.613326095459776
"ACTR3",3439.09514579545,-0.102622801665992,0.244425024610722,-0.419853907468894,0.674592181267151,0.892190005461229
"ACTR3-AS1",22.2737514603165,0.419271344303171,0.885057771969054,0.473722007288164,0.635698157731862,NA
"ACTR3B",64.4673194172688,0.0206074266757207,0.39730229150155,0.0518683811206769,0.958633568559147,NA
"ACTR3C",247.281232133138,0.525070627170304,0.629095831688707,0.834643309844918,0.403918569264468,NA
"ACTR5",75.4946224879144,1.23811523092712,0.463343678593642,2.67213148280148,0.00753711097175884,NA
"ACTR6",164.415781619282,0.350460212502546,0.266808247856752,1.31352840595358,0.189004955558066,NA
"ACTR8",245.049827438641,0.312586663802799,0.276136991241936,1.1319985142046,0.25763505907287,NA
"ACTRT3",3.08552041959375,-1.34978207521218,2.0217564377589,-0.667628429420708,0.504370805749601,NA
"ACVR1",261.721758452485,-0.27449988618186,0.330450155122466,-0.830684694580123,0.406151774905268,NA
"ACVR1B",257.921488085555,-1.02354603499598,0.535163797535088,-1.91258459505357,0.0558012533510621,NA
"ACVR1C",118.464477117891,0.0349927217176552,1.06399232653145,0.0328881335373249,0.973763795743511,NA
"ACVR2A",355.236992588383,-0.483016558954114,0.478639875275638,-1.00914400137673,0.312905578145632,NA
"ACVR2B",343.565337679937,-0.114477612186691,0.330054304313232,-0.346844778845992,0.72870793424525,NA
"ACVR2B-AS1",6.82752831726579,-2.0610992877925,1.22542178943783,-1.68195090503331,0.0925783603864152,NA
"ACVRL1",214.779815356968,-0.0753479359263905,0.529978046005413,-0.142171805972546,0.886944301119927,NA
"ACY3",6.99541960214916,-0.666502732076106,1.07458060852485,-0.620244518455493,0.535096816034268,NA
"ACYP1",49.9359635304395,-0.261129021865693,0.427991880941321,-0.610126111017267,0.541778271138902,NA
"ACYP2",157.87850166848,-0.467902159911255,0.309707804694695,-1.51078582075936,0.130843028453492,NA
"ADA",79.9059677500688,0.720364962453799,0.40607023967465,1.77399102931297,0.0760646341619538,NA
"ADA2",3096.23392330985,-0.0601874952026176,0.727573887690359,-0.0827235504474732,0.93407135850107,0.984210308292626
"ADAD2",0.769547491926927,-1.49918657404139,5.45408746819539,-0.274873951469178,0.783413080277189,NA
"ADAL",93.7663158546808,0.153668874369738,0.367700447224316,0.417918649622941,0.676006596570949,NA
"ADAM10",2435.25822336488,-0.0666412061531012,0.213500868193922,-0.312135527676502,0.754937527207649,0.925798187458497
"ADAM11",10.3814601286214,-1.01198693787249,0.847981514998467,-1.1934068372638,0.232710078545455,NA
"ADAM12",341.336938682453,-0.035202500395302,0.567945655847462,-0.0619821633159152,0.950577036298783,NA
"ADAM15",170.123633115751,-0.540707698354983,0.591881783043557,-0.913540024115241,0.360958593466163,NA
"ADAM17",942.740216705706,-0.0343702640825049,0.414492290168146,-0.0829213592092678,0.93391407033421,0.984210308292626
"ADAM19",1444.89101659895,0.30136712625541,0.639327218210607,0.471381661332825,0.637368209482991,0.86800233876115
"ADAM20",103.206978465725,0.232359805549151,0.518407986151537,0.448218028572633,0.65399585269634,NA
"ADAM20P1",54.6738901405748,0.311041223706549,0.673179407880108,0.462048036623759,0.644046872850796,NA
"ADAM21",0.515676042988643,0.303880209319505,2.66257553885386,0.114130173918113,0.909134603169729,NA
